user_id,name,city,state,risk_score
1,Ishaan Tata,Visakhapatnam,Sikkim,0.43
2,Yasti Date,Bokaro,West Bengal,0.37
3,Kai Bhandari,Proddatur,Arunachal Pradesh,0.38
4,Dakshesh Bahri,Barasat,Jharkhand,0.06
5,Balendra Kala,Anantapuram,Odisha,0.86
6,Gabriel Bumb,Singrauli,Goa,0.11
7,Wahab Sethi,Rajahmundry,Telangana,0.68
8,Reyansh Nazareth,Panipat,Tamil Nadu,0.44
9,Idika Bansal,Singrauli,Odisha,0.89
10,Wazir Bajaj,Bhind,Rajasthan,0.68
11,Rishi Kota,Thrissur,Sikkim,0.81
12,Daksha Tata,Kanpur,Jharkhand,0.66
13,Omkaar Chatterjee,Amaravati,Goa,0.09
14,Panini Ratta,Khammam,Bihar,0.18
15,Jairaj Som,Siwan,Punjab,0.48
16,Ladli Thakur,Vijayanagaram,Karnataka,0.36
17,Nisha Hayre,Nagpur,Haryana,0.47
18,Gaurang Bassi,Junagadh,Assam,0.51
19,Rayaan Patil,Naihati,Chhattisgarh,0.22
20,Jalsa Devan,Bathinda,Uttarakhand,0.64
21,Vihaan Sibal,Firozabad,Uttarakhand,0.91
22,Zaitra Patla,Aurangabad,Chhattisgarh,0.97
23,Aachal Roy,Ratlam,Bihar,0.19
24,Hemani Pal,Amroha,Tamil Nadu,0.34
25,Yashvi Dass,Hajipur,Rajasthan,0.7
26,Chakradhar Oza,Guna,Andhra Pradesh,0.95
27,Osha Dey,Ranchi,Karnataka,0.53
28,Anya Koshy,Tiruchirappalli,Punjab,0.1
29,Nimrat Rai,Kota,Assam,0.63
30,Jyoti Soni,Jaunpur,Bihar,0.72
31,Upasna Sampath,Visakhapatnam,Tripura,0.69
32,Sneha Oommen,Akola,Maharashtra,0.21
33,Shaurya Chawla,Gulbarga,Karnataka,0.97
34,Anita Halder,Meerut,Arunachal Pradesh,0.63
35,Sneha Dugar,Rewa,Gujarat,0.58
36,Sai Raj,Aurangabad,Haryana,1.0
